User ID,Role,Password
A001,Administrator,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
A002,Administrator,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
A003,Administrator,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
A004,Administrator,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
A005,Administrator,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D001,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D002,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D003,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D004,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D005,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D006,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D007,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D008,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D009,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D010,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P001,Pharmacist,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P002,Pharmacist,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P003,Pharmacist,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1001,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1002,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1003,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1004,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1005,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1006,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1007,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1008,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1009,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
P1010,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
